commit;path;class;type;cbo;wmc;rfc;lcom;nom;nopm;nosm;nof;nopf;nosf;nosi;loc
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/model/Link.java;org.apache.abdera.model.Link;interface;5;15;0;105;15;0;0;31;31;31;0;221
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/xpath/XPath.java;org.apache.abdera.xpath.XPath;interface;7;14;1;91;14;0;0;1;1;1;0;74
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/util/URIHelper.java;org.apache.abdera.util.URIHelper;class;4;8;12;1;2;2;2;0;0;0;1;52
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/parser/ParserOptions.java;org.apache.abdera.parser.ParserOptions;interface;4;8;0;28;8;0;0;0;0;0;0;68
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;parser/src/main/java/org/apache/abdera/parser/stax/FOMControl.java;org.apache.abdera.parser.stax.FOMControl;class;10;10;5;28;8;8;0;1;0;1;0;77
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/model/Text.java;org.apache.abdera.model.Text;interface;3;8;1;6;4;1;1;0;0;0;0;81
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;parser/src/main/java/org/apache/abdera/parser/stax/FOMException.java;org.apache.abdera.parser.stax.FOMException;class;3;4;0;6;4;4;0;1;0;1;0;34
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/model/Generator.java;org.apache.abdera.model.Generator;interface;3;6;0;15;6;0;0;0;0;0;0;85
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/model/Person.java;org.apache.abdera.model.Person;interface;6;13;0;78;13;0;0;0;0;0;0;132
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;examples/src/main/java/org/apache/abdera/examples/simple/Create.java;org.apache.abdera.examples.simple.Create;class;4;1;15;0;1;1;1;0;0;0;0;50
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/factory/ExtensionFactory.java;org.apache.abdera.factory.ExtensionFactory;interface;6;3;0;3;3;0;0;0;0;0;0;75
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;security/src/main/java/org/apache/abdera/security/util/EncryptionBase.java;org.apache.abdera.security.util.EncryptionBase;class;4;1;3;0;1;1;0;0;0;0;0;31
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/util/AbstractParser.java;org.apache.abdera.util.AbstractParser;class;8;5;2;10;5;5;0;0;0;0;0;59
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;security/src/main/java/org/apache/abdera/security/util/SecurityBase.java;org.apache.abdera.security.util.SecurityBase;class;14;12;15;6;4;0;0;0;0;0;0;95
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/parser/ParseException.java;org.apache.abdera.parser.ParseException;class;3;4;0;6;4;4;0;1;0;1;0;37
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;security/src/main/java/org/apache/abdera/security/SignatureOptions.java;org.apache.abdera.security.SignatureOptions;interface;3;4;0;6;4;0;0;0;0;0;0;27
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/util/ConfigProperties.java;org.apache.abdera.util.ConfigProperties;class;4;17;5;7;6;4;5;4;0;4;5;61
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;security/src/main/java/org/apache/abdera/security/xmlsec/XmlEncryptionOptions.java;org.apache.abdera.security.xmlsec.XmlEncryptionOptions;class;4;10;0;35;10;10;0;5;0;0;0;59
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;examples/src/main/java/org/apache/abdera/examples/appclient/Main.java;org.apache.abdera.examples.appclient.Main;class;11;9;24;3;3;1;3;0;0;0;9;112
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/factory/Factory.java;org.apache.abdera.factory.Factory;interface;36;102;1;5151;102;0;0;1;1;1;0;171
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/model/ExtensionElement.java;org.apache.abdera.model.ExtensionElement;interface;2;1;0;0;1;0;0;0;0;0;0;26
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;security/src/main/java/org/apache/abdera/security/xmlsec/XmlSecurityOptions.java;org.apache.abdera.security.xmlsec.XmlSecurityOptions;class;2;3;0;0;2;2;0;1;0;0;0;30
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;examples/src/main/java/org/apache/abdera/examples/appclient/ClientException.java;org.apache.abdera.examples.appclient.ClientException;class;2;4;0;0;4;4;1;2;0;1;0;35
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;parser/src/main/java/org/apache/abdera/parser/stax/FOMFeed.java;org.apache.abdera.parser.stax.FOMFeed;class;17;15;15;66;12;12;0;1;0;1;0;107
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;parser/src/main/java/org/apache/abdera/parser/stax/FOMService.java;org.apache.abdera.parser.stax.FOMService;class;16;14;10;55;11;11;0;1;0;1;0;102
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;examples/src/main/java/org/apache/abdera/examples/appclient/RequestOptions.java;org.apache.abdera.examples.appclient.RequestOptions;class;4;22;2;135;18;18;0;9;0;0;0;90
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;parser/src/main/java/org/apache/abdera/parser/stax/FOMLink.java;org.apache.abdera.parser.stax.FOMLink;class;15;32;17;251;23;23;1;2;0;2;0;154
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;security/src/main/java/org/apache/abdera/security/Encryption.java;org.apache.abdera.security.Encryption;interface;3;4;1;6;4;0;0;1;1;1;0;30
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/model/Collection.java;org.apache.abdera.model.Collection;interface;5;10;0;45;10;0;0;0;0;0;0;94
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/model/Source.java;org.apache.abdera.model.Source;interface;20;107;0;5671;107;0;0;0;0;0;0;542
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;parser/src/main/java/org/apache/abdera/parser/stax/FOMStringElement.java;org.apache.abdera.parser.stax.FOMStringElement;class;8;6;3;10;5;5;0;1;0;1;0;62
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/model/Entry.java;org.apache.abdera.model.Entry;interface;27;149;0;11026;149;0;0;0;0;0;0;775
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;examples/src/main/java/org/apache/abdera/examples/appclient/EntryRequestEntity.java;org.apache.abdera.examples.appclient.EntryRequestEntity;class;7;6;2;4;5;5;0;1;0;0;0;52
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/model/Total.java;org.apache.abdera.model.Total;interface;1;2;0;1;2;0;0;0;0;0;0;9
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;parser/src/main/java/org/apache/abdera/parser/stax/FOMInReplyTo.java;org.apache.abdera.parser.stax.FOMInReplyTo;class;13;19;13;153;18;18;0;1;0;1;0;110
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;parser/src/main/java/org/apache/abdera/parser/stax/FOMGenerator.java;org.apache.abdera.parser.stax.FOMGenerator;class;11;14;7;55;11;11;0;1;0;1;0;85
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;parser/src/main/java/org/apache/abdera/parser/stax/FOMParserOptions.java;org.apache.abdera.parser.stax.FOMParserOptions;class;5;4;0;1;2;0;0;0;0;0;0;31
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/xpath/XPathException.java;org.apache.abdera.xpath.XPathException;class;3;4;0;6;4;4;0;1;0;1;0;33
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/model/Feed.java;org.apache.abdera.model.Feed;interface;4;7;0;21;7;0;0;0;0;0;0;126
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;security/src/main/java/org/apache/abdera/security/SecurityOptions.java;org.apache.abdera.security.SecurityOptions;interface;1;2;0;1;2;0;0;0;0;0;0;23
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;security/src/main/java/org/apache/abdera/security/EncryptionOptions.java;org.apache.abdera.security.EncryptionOptions;interface;3;10;0;45;10;0;0;0;0;0;0;32
cb5a3646fc8b2a620dba5bdde3a6b7a3753b1be2;core/src/main/java/org/apache/abdera/util/MimeTypeHelper.java;org.apache.abdera.util.MimeTypeHelper;class;2;8;7;6;4;4;4;0;0;0;3;58
