commit;file;commits;linesAdded;linesDeleted;authors;minorAuthors;majorAuthors;authorOwnership;bugs;refactorings
07d285fd3b0419eed9632dccd6113fbcbcc79868;core/src/test/java/org/apache/abdera/test/core/CoreTest.java;0;0;0;0;0;0;0.0;0;0
07d285fd3b0419eed9632dccd6113fbcbcc79868;parser/src/test/java/org/apache/abdera/test/parser/stax/AtomConformanceTest.java;0;0;0;0;0;0;0.0;0;0
07d285fd3b0419eed9632dccd6113fbcbcc79868;parser/src/test/java/org/apache/abdera/test/parser/stax/FeedParserTest.java;0;0;0;0;0;0;0.0;0;0
1d2dac3f2cf8f9e75552ec4dfc01dbac7173b51e;parser/src/main/java/org/apache/abdera/parser/stax/FOMParser.java;1;67;0;1;0;1;1.0;0;0
1af816ef390af411c05e7c162c65d2e0c6020b32;core/src/test/java/org/apache/abdera/test/core/CoreTest.java;1;1;1;1;0;1;1.0;0;1
9fb858e2c435acaa7c8a1a0965586531284082a4;parser/src/main/java/org/apache/abdera/parser/stax/FOMFactory.java;3;1400;0;1;0;1;1.0;1;0
3ae45d4c685f62764170748014d2d28240fa1ee4;parser/src/main/java/org/apache/abdera/parser/stax/FOMFactory.java;4;1400;13;1;0;1;1.0;1;1
876a8c9ac3413d45d9417aa2b88ab61fa2d33030;parser/src/test/java/org/apache/abdera/test/parser/stax/FeedParserTest.java;2;2;3;1;0;1;1.0;0;1
b636ebc0cd3a288c29ee4c8da413393ac0e0b165;core/src/main/java/org/apache/abdera/util/ServiceUtil.java;2;156;1;1;0;1;1.0;0;0
ff41f83d5b574b4bf8ef3362119a77ad42005506;parser/src/main/java/org/apache/abdera/parser/stax/FOMParserFactory.java;1;55;0;1;0;1;1.0;0;0
ff41f83d5b574b4bf8ef3362119a77ad42005506;parser/src/main/java/org/apache/abdera/parser/stax/FOMWriterFactory.java;1;55;0;1;0;1;1.0;0;0
5ffd6778db53d0b83ac8a8e1a6aee9934584ddd9;server/src/main/java/org/apache/abdera/server/exceptions/MethodNotAllowedException.java;0;0;0;0;0;0;0.0;0;0
65bcf4aa791e72c815a9b86177a4e7d498e817c9;parser/src/main/java/org/apache/abdera/parser/stax/FOMFactory.java;7;1408;124;1;0;1;1.0;3;2
497d1d270d684bc68da9c30eda0ffbe5308a2871;parser/src/main/java/org/apache/abdera/parser/stax/FOMSource.java;2;697;72;1;0;1;1.0;1;0
aa7355f6998caf3943476d92c47fa76c9c0b0b4c;parser/src/main/java/org/apache/abdera/parser/stax/SniffingInputStream.java;0;0;0;0;0;0;0.0;0;0
bc87dc1e6985ea34e5565c422ba6a81d0536f139;parser/src/main/java/org/apache/abdera/parser/stax/FOMDocument.java;3;150;1;1;0;1;1.0;1;0
40d4a7116cfae2b171f7206e619c0129bc94d511;parser/src/main/java/org/apache/abdera/parser/stax/FOMCollection.java;2;167;0;1;0;1;1.0;1;0
40d4a7116cfae2b171f7206e619c0129bc94d511;parser/src/main/java/org/apache/abdera/parser/stax/FOMContent.java;9;325;7;1;0;1;1.0;2;0
40d4a7116cfae2b171f7206e619c0129bc94d511;parser/src/main/java/org/apache/abdera/parser/stax/FOMElement.java;8;572;14;1;0;1;1.0;3;0
40d4a7116cfae2b171f7206e619c0129bc94d511;parser/src/main/java/org/apache/abdera/parser/stax/FOMEntry.java;8;1126;210;1;0;1;1.0;3;0
40d4a7116cfae2b171f7206e619c0129bc94d511;parser/src/main/java/org/apache/abdera/parser/stax/FOMIRI.java;2;109;0;1;0;1;1.0;1;0
40d4a7116cfae2b171f7206e619c0129bc94d511;parser/src/main/java/org/apache/abdera/parser/stax/FOMSource.java;3;700;73;1;0;1;1.0;1;1
40d4a7116cfae2b171f7206e619c0129bc94d511;parser/src/main/java/org/apache/abdera/parser/stax/FOMWorkspace.java;2;135;0;1;0;1;1.0;1;0
40d4a7116cfae2b171f7206e619c0129bc94d511;parser/src/main/java/org/apache/abdera/parser/stax/util/SniffingInputStream.java;0;0;0;0;0;0;0.0;0;0
