before;after;refactoring;path;class;type;cbo;wmc;rfc;lcom;nom;nopm;nosm;nof;nopf;nosf;nosi;loc
c43e39de75c4881d86f5e3e0f0ffa1123942d1cb;aa32b52432f8451b4523fcc9afb3b012ec084709;RENAME_ATTRIBUTE;server/src/test/java/org/apache/abdera/protocol/server/test/custom/CustomProviderTest.java;org.apache.abdera.protocol.server.test.custom.CustomProviderTest;class;24;11;45;1;10;9;2;4;0;4;0;192
60866bf1666bd019359817073478c204120692ce;f49aadb10bdfc1942f21c21ab6955cf083945c01;RENAME_METHOD;parser/src/main/java/org/apache/abdera/parser/stax/FOMFactory.java;org.apache.abdera.parser.stax.FOMFactory;class;106;194;69;5716;108;106;1;2;0;0;0;585
b1dd8d4ffd1ffa80630fb04087640de3891ac0be;881cd4960e35ca69f6c8ec2608cea71b8c30e183;EXTRACT_OPERATION;core/src/main/java/org/apache/abdera/util/Discover.java;org.apache.abdera.util.Discover;class;31;64;33;197;27;17;13;9;0;0;19;232
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMCategories.java;org.apache.abdera.parser.stax.FOMCategories;class;20;42;29;300;25;18;0;1;0;1;0;165
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMCategory.java;org.apache.abdera.parser.stax.FOMCategory;class;13;18;8;78;13;8;0;1;0;1;0;90
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMCollection.java;org.apache.abdera.parser.stax.FOMCollection;class;29;57;43;465;31;25;0;3;0;3;0;227
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMContent.java;org.apache.abdera.parser.stax.FOMContent;class;35;91;46;0;27;21;0;2;0;1;0;341
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMControl.java;org.apache.abdera.parser.stax.FOMControl;class;10;10;5;28;8;3;0;1;0;1;0;62
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMDateTime.java;org.apache.abdera.parser.stax.FOMDateTime;class;15;23;10;48;13;10;0;2;0;1;0;110
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMDiv.java;org.apache.abdera.parser.stax.FOMDiv;class;17;23;23;66;12;8;0;1;0;1;0;123
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMEntry.java;org.apache.abdera.parser.stax.FOMEntry;class;62;193;109;7260;121;113;0;1;0;1;0;804
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMExtensibleElement.java;org.apache.abdera.parser.stax.FOMExtensibleElement;class;26;31;27;171;19;15;0;1;0;1;0;164
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMFeed.java;org.apache.abdera.parser.stax.FOMFeed;class;30;53;30;190;21;14;0;3;0;1;0;191
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMGenerator.java;org.apache.abdera.parser.stax.FOMGenerator;class;12;13;8;45;10;5;0;1;0;1;0;73
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMIRI.java;org.apache.abdera.parser.stax.FOMIRI;class;12;9;11;21;7;4;0;1;0;1;0;60
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMLink.java;org.apache.abdera.parser.stax.FOMLink;class;19;37;16;229;22;17;1;2;0;2;0;166
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMMultipartCollection.java;org.apache.abdera.parser.stax.FOMMultipartCollection;class;19;35;28;55;11;7;0;0;0;0;0;111
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMService.java;org.apache.abdera.parser.stax.FOMService;class;21;27;17;120;16;10;0;1;0;1;0;133
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMSource.java;org.apache.abdera.parser.stax.FOMSource;class;45;133;92;3828;88;82;0;1;0;1;0;547
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMText.java;org.apache.abdera.parser.stax.FOMText;class;23;52;32;0;18;14;0;2;0;1;0;203
73e2f28a2dd31fd2e97d46d74dd1977858477820;b76fb4195e7804c6b0ac26d6736bf1a849de31b1;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMWorkspace.java;org.apache.abdera.parser.stax.FOMWorkspace;class;20;41;19;190;20;14;0;1;0;1;0;168
b76fb4195e7804c6b0ac26d6736bf1a849de31b1;6f6b78fcda1fb2db9ebf277af299aa721961627e;INLINE_OPERATION;parser/src/main/java/org/apache/abdera/parser/stax/FOMFactory.java;org.apache.abdera.parser.stax.FOMFactory;class;109;214;89;8323;130;126;1;2;0;0;0;652
2d43077dc168f6c6760a1a2b72d2100c531b99cb;61a398874c55456752e497c2c6e94ccdbcf9a806;INLINE_OPERATION;parser/src/main/java/org/apache/abdera/parser/stax/FOMStAXFilter.java;org.apache.abdera.parser.stax.FOMStAXFilter;class;11;43;23;3;10;6;0;8;0;0;0;178
f035bf9b702030c0f8d85ba9ee046b84fefa01a3;c419255ab986e43f0d8b69d3f872d78d9388e8c9;RENAME_METHOD;parser/src/test/java/org/apache/abdera/test/parser/stax/ParserOptionsTest.java;org.apache.abdera.test.parser.stax.ParserOptionsTest;class;12;4;22;0;4;4;0;1;0;1;0;79
c4dda9aee32907da286d99b5ca91bc888f42a11c;b6c122b61477585c49cfcc623e4bf96cb86cf1be;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMProcessingInstruction.java;org.apache.abdera.parser.stax.FOMProcessingInstruction;class;11;11;9;28;8;7;0;0;0;0;0;63
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMComment.java;org.apache.abdera.parser.stax.FOMComment;class;12;11;8;28;8;7;0;0;0;0;0;62
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMComment.java;org.apache.abdera.parser.stax.FOMComment;class;12;11;8;28;8;7;0;0;0;0;0;62
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMComment.java;org.apache.abdera.parser.stax.FOMComment;class;12;11;8;28;8;7;0;0;0;0;0;62
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMComment.java;org.apache.abdera.parser.stax.FOMComment;class;12;11;8;28;8;7;0;0;0;0;0;62
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMComment.java;org.apache.abdera.parser.stax.FOMComment;class;12;11;8;28;8;7;0;0;0;0;0;62
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMProcessingInstruction.java;org.apache.abdera.parser.stax.FOMProcessingInstruction;class;11;12;9;36;9;8;0;0;0;0;0;65
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMProcessingInstruction.java;org.apache.abdera.parser.stax.FOMProcessingInstruction;class;11;12;9;36;9;8;0;0;0;0;0;65
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMProcessingInstruction.java;org.apache.abdera.parser.stax.FOMProcessingInstruction;class;11;12;9;36;9;8;0;0;0;0;0;65
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMProcessingInstruction.java;org.apache.abdera.parser.stax.FOMProcessingInstruction;class;11;12;9;36;9;8;0;0;0;0;0;65
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMProcessingInstruction.java;org.apache.abdera.parser.stax.FOMProcessingInstruction;class;11;12;9;36;9;8;0;0;0;0;0;65
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMProcessingInstruction.java;org.apache.abdera.parser.stax.FOMProcessingInstruction;class;11;12;9;36;9;8;0;0;0;0;0;65
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMTextValue.java;org.apache.abdera.parser.stax.FOMTextValue;class;17;19;6;136;17;16;0;0;0;0;0;87
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMTextValue.java;org.apache.abdera.parser.stax.FOMTextValue;class;17;19;6;136;17;16;0;0;0;0;0;87
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMTextValue.java;org.apache.abdera.parser.stax.FOMTextValue;class;17;19;6;136;17;16;0;0;0;0;0;87
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMTextValue.java;org.apache.abdera.parser.stax.FOMTextValue;class;17;19;6;136;17;16;0;0;0;0;0;87
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMTextValue.java;org.apache.abdera.parser.stax.FOMTextValue;class;17;19;6;136;17;16;0;0;0;0;0;87
05a7d3565708742ccd0afd53633f39d49a98c560;0c8e0cdf04d8ad00abc5fa8ed96ff6e74c4c9f8d;RENAME_PARAMETER;parser/src/main/java/org/apache/abdera/parser/stax/FOMTextValue.java;org.apache.abdera.parser.stax.FOMTextValue;class;17;19;6;136;17;16;0;0;0;0;0;87
